property_type,sector,bedRoom,bathroom,built_up_area,study room,servant room,store room
0.0,8.0,4.0,6,2131.0,0,1,0
0.0,110.0,3.0,3,1403.0,0,0,0
0.0,11.0,3.0,4,1860.0,0,1,0
0.0,54.0,3.0,3,1611.0,0,0,0
1.0,30.0,5.0,5,6400.0,1,1,0
0.0,7.0,3.0,2,833.0,0,0,0
0.0,69.0,3.0,3,1630.0,0,0,0
0.0,11.0,3.0,4,2339.0,0,1,0
0.0,73.0,4.0,3,3150.0,0,1,0
1.0,55.0,2.0,6,1467.0,0,0,0
0.0,17.0,4.0,4,2886.0,1,1,0
0.0,39.0,3.0,3,1619.0,0,0,0
0.0,94.0,3.0,3,1677.0,0,0,0
0.0,0.0,3.0,3,1267.0,0,0,0
0.0,103.0,3.0,3,1578.0,0,0,0
0.0,73.0,2.0,2,1433.0,1,0,0
1.0,102.0,2.0,3,900.0,0,0,0
0.0,50.0,3.0,3,2450.0,0,1,0
0.0,73.0,4.0,4,1975.0,1,1,0
0.0,71.0,4.0,4,3950.0,0,0,0
0.0,25.0,3.0,4,1738.0,0,1,0
1.0,86.0,4.0,4,3111.0,0,0,0
0.0,69.0,3.0,3,1721.0,0,0,0
0.0,4.0,3.0,3,1315.0,0,1,0
0.0,8.0,3.0,4,1345.0,0,1,0
0.0,20.0,4.0,4,3250.0,0,0,0
0.0,107.0,2.0,2,670.0,1,0,0
1.0,64.0,6.0,6,3450.0,1,1,1
0.0,11.0,3.0,2,1701.0,0,0,0
0.0,9.0,2.0,2,1281.0,1,0,0
1.0,63.0,8.0,8,3240.0,1,1,0
0.0,80.0,3.0,4,1923.0,1,1,0
1.0,54.0,3.0,6,2592.0,0,1,0
0.0,78.0,3.0,3,1392.0,0,0,0
1.0,78.0,1.0,1,763.0,0,0,0
0.0,101.0,2.0,2,998.0,1,0,0
0.0,59.0,3.0,3,2127.0,0,1,0
0.0,88.0,2.0,2,1239.0,0,0,0
0.0,109.0,3.0,3,1997.0,0,0,0
0.0,111.0,2.0,1,828.0,0,0,0
0.0,44.0,2.0,2,610.0,0,0,0
0.0,73.0,2.0,2,1433.0,0,0,0
0.0,109.0,3.0,5,1737.0,0,1,0
0.0,16.0,4.0,5,3655.35,0,1,0
0.0,101.0,2.0,2,1233.0,1,0,0
0.0,89.0,2.0,2,1700.0,1,0,0
0.0,101.0,2.0,2,998.0,1,0,0
1.0,64.0,2.0,8,1458.0,0,0,1
0.0,105.0,3.0,3,1574.0,0,0,0
0.0,44.0,3.0,3,1535.0,0,0,0
1.0,11.0,7.0,5,4500.0,1,1,0
0.0,44.0,3.0,3,1725.0,0,0,0
0.0,14.0,2.0,1,1000.0,0,0,0
0.0,4.0,2.0,2,1009.0,0,0,1
1.0,33.0,10.0,10,8056.0,0,0,0
0.0,60.0,3.0,4,2500.0,0,1,0
0.0,6.0,4.0,5,2991.0,1,1,1
0.0,60.0,3.0,4,2661.0,0,1,0
1.0,36.0,1.0,1,1000.0,0,0,0
0.0,105.0,3.0,3,1304.0,0,0,0
0.0,78.0,2.0,2,1100.0,0,0,0
1.0,79.0,1.0,1,758.0,0,0,0
1.0,48.0,9.0,9,2367.0,0,1,1
0.0,88.0,3.0,4,1668.0,0,1,0
0.0,74.0,3.0,4,1800.0,0,1,0
0.0,73.0,3.0,3,1828.0,0,0,0
0.0,103.0,4.0,4,2005.0,0,1,0
0.0,95.0,3.0,3,1549.0,0,1,0
0.0,69.0,2.0,2,1389.0,0,0,0
0.0,60.0,4.0,5,3000.0,1,1,0
1.0,31.0,4.0,4,4518.0,0,0,0
0.0,39.0,2.0,2,1533.0,0,0,0
1.0,36.0,6.0,1,3000.0,0,0,0
0.0,105.0,3.0,2,1325.0,0,0,0
0.0,4.0,3.0,3,1456.0,0,0,1
1.0,111.0,3.0,2,1120.0,0,0,0
1.0,18.0,9.0,9,9000.0,0,0,0
1.0,20.0,4.0,4,3150.0,0,0,0
0.0,105.0,4.0,4,2518.0,0,1,0
0.0,8.0,3.0,3,1650.0,0,1,0
0.0,102.0,4.0,3,2000.0,0,0,0
0.0,111.0,2.0,2,520.0,0,0,0
1.0,28.0,5.0,5,1450.0,0,0,0
0.0,85.0,3.0,3,2018.0,0,0,1
0.0,105.0,3.0,3,1572.0,0,0,0
1.0,67.0,6.0,4,240.0,0,0,0
1.0,60.0,5.0,5,2250.0,1,0,0
1.0,34.0,4.0,2,1170.0,0,0,0
0.0,111.0,2.0,2,500.0,0,0,0
1.0,33.0,4.0,4,3240.0,0,0,0
0.0,6.0,2.0,2,1611.0,1,0,0
1.0,83.0,5.0,5,3653.0,0,1,0
0.0,109.0,2.0,2,606.0,0,0,0
0.0,74.0,4.0,4,2700.0,1,1,0
0.0,53.0,2.0,2,1108.0,0,0,0
1.0,57.0,3.0,3,2259.0,0,1,0
1.0,45.0,3.0,9,1494.0,0,0,0
0.0,44.0,2.0,2,1100.0,0,0,0
0.0,11.0,3.0,3,2303.0,0,1,0
0.0,87.0,3.0,3,1900.0,0,1,0
0.0,50.0,3.0,3,195.0,0,0,0
0.0,6.0,3.0,3,2544.0,0,1,0
0.0,96.0,4.0,4,3222.0,0,1,0
1.0,51.0,5.0,4,3240.0,0,1,0
0.0,80.0,2.0,2,991.0,0,0,0
0.0,82.0,1.0,1,683.0,0,0,0
0.0,39.0,4.0,4,2000.0,0,1,0
1.0,36.0,4.0,3,1070.0,0,0,0
0.0,107.0,2.0,2,637.0,0,0,0
0.0,95.0,5.0,7,3200.0,0,1,0
0.0,5.0,1.0,1,400.0,0,0,0
0.0,73.0,3.0,3,1829.0,0,0,0
0.0,96.0,3.0,3,1833.0,0,1,0
0.0,92.0,2.0,2,700.0,0,0,0
1.0,39.0,2.0,2,1210.0,1,0,0
1.0,20.0,6.0,6,3150.0,0,0,0
0.0,77.0,2.0,2,1150.0,0,0,0
0.0,78.0,3.0,3,1392.0,0,0,0
0.0,17.0,4.0,4,2553.0,1,1,0
0.0,54.0,3.0,3,1600.0,0,0,0
1.0,50.0,3.0,3,1935.0,0,0,0
0.0,71.0,4.0,4,3950.0,0,0,0
0.0,10.0,2.0,2,1235.0,0,0,0
0.0,96.0,4.0,4,2998.0,0,1,0
0.0,96.0,3.0,3,1652.0,0,0,0
0.0,4.0,2.0,2,1145.0,0,0,0
0.0,44.0,3.0,3,1711.0,0,0,0
1.0,34.0,5.0,3,1755.0,0,0,0
0.0,105.0,3.0,3,1473.0,0,0,0
0.0,30.0,4.0,4,2333.0,0,1,0
0.0,111.0,2.0,2,1222.0,1,0,0
0.0,83.0,3.0,3,2986.0,0,1,0
0.0,92.0,3.0,4,1900.0,0,1,0
1.0,13.0,5.0,4,2025.0,0,0,0
0.0,80.0,3.0,3,1765.0,0,1,0
0.0,43.0,3.0,5,1400.0,0,1,0
1.0,63.0,2.0,2,1458.0,0,0,0
0.0,96.0,2.0,2,1086.0,0,0,0
0.0,93.0,2.0,2,1176.0,0,0,0
0.0,107.0,2.0,2,974.0,1,0,0
1.0,20.0,5.0,5,2500.0,0,0,0
1.0,25.0,3.0,7,1215.0,0,0,0
0.0,107.0,2.0,2,695.0,0,0,0
0.0,105.0,3.0,3,1068.0,0,0,0
1.0,27.0,7.0,5,2367.0,0,0,0
1.0,11.0,4.0,4,2430.0,1,1,1
0.0,68.0,2.0,2,1350.0,0,0,0
0.0,98.0,3.0,3,1700.0,0,0,0
1.0,30.0,4.0,4,1800.0,1,1,1
0.0,74.0,2.0,2,1072.0,0,0,0
0.0,10.0,3.0,3,1711.0,0,0,0
1.0,33.0,5.0,6,5000.0,0,0,0
0.0,105.0,4.0,4,2267.0,0,0,0
0.0,27.0,3.0,3,1860.0,0,0,0
0.0,40.0,3.0,2,1122.0,0,0,0
1.0,54.0,7.0,7,2403.0,1,1,1
0.0,46.0,4.0,3,2611.0,0,1,0
0.0,87.0,2.0,2,1214.0,0,0,0
0.0,68.0,2.0,3,1250.0,0,1,0
1.0,31.0,5.0,5,3240.0,1,1,1
0.0,111.0,2.0,2,1043.0,0,0,0
0.0,80.0,4.0,4,2667.0,0,1,0
0.0,97.0,2.0,2,1630.0,0,0,1
1.0,30.0,3.0,2,1350.0,1,0,0
0.0,73.0,3.0,3,1600.0,1,1,0
0.0,95.0,2.0,2,850.0,1,0,0
0.0,96.0,2.0,2,1394.0,1,0,0
1.0,83.0,5.0,5,3653.0,0,0,0
0.0,104.0,4.0,4,2468.0,1,1,0
0.0,80.0,3.0,5,1527.0,0,1,0
0.0,110.0,3.0,3,1722.0,0,0,0
0.0,10.0,4.0,4,2631.0,0,1,0
1.0,92.0,1.0,1,1095.0,0,0,0
1.0,31.0,7.0,9,11111.0,1,1,1
0.0,97.0,4.0,4,2600.0,0,0,0
0.0,105.0,3.0,2,1240.0,0,0,0
0.0,72.0,2.0,2,978.0,0,0,0
1.0,30.0,5.0,5,3375.0,0,0,0
1.0,30.0,5.0,6,2700.0,0,1,1
0.0,4.0,3.0,4,2250.0,0,1,0
0.0,111.0,2.0,2,1105.0,0,0,0
0.0,98.0,3.0,2,833.0,0,0,0
0.0,10.0,3.0,4,2343.0,0,1,0
0.0,111.0,2.0,2,762.0,0,0,0
0.0,98.0,3.0,3,1690.0,0,0,0
0.0,82.0,1.0,1,425.0,0,0,0
1.0,29.0,4.0,4,2844.0,0,0,0
0.0,105.0,4.0,4,1939.0,0,1,0
1.0,63.0,4.0,4,1503.0,0,0,0
0.0,57.0,4.0,4,11111.0,0,1,0
0.0,11.0,3.0,3,1466.0,0,0,0
0.0,95.0,2.0,2,950.0,0,0,0
0.0,81.0,2.0,2,1142.0,0,0,0
0.0,44.0,3.0,3,1983.0,0,1,0
0.0,1.0,3.0,3,1489.0,0,0,0
0.0,97.0,3.0,4,2026.0,0,1,0
1.0,25.0,4.0,3,1557.0,0,0,1
0.0,14.0,5.0,5,3500.0,0,1,0
0.0,97.0,4.0,4,2600.0,1,1,0
0.0,18.0,3.0,3,1167.0,0,0,0
1.0,74.0,5.0,6,3150.0,0,1,1
0.0,97.0,4.0,4,2545.0,0,1,0
1.0,13.0,4.0,3,1800.0,1,0,0
0.0,11.0,3.0,3,1584.0,0,0,0
0.0,43.0,2.0,3,1442.0,1,0,0
0.0,78.0,3.0,3,1392.0,0,0,0
0.0,81.0,2.0,2,1285.0,0,0,0
0.0,44.0,3.0,2,1538.0,0,0,0
0.0,97.0,4.0,4,2300.0,1,1,0
0.0,68.0,3.0,3,2400.0,0,1,0
0.0,8.0,5.0,6,3797.0,0,0,0
0.0,75.0,4.0,4,2854.0,0,1,0
0.0,64.0,3.0,3,2036.0,0,0,0
0.0,75.0,3.0,3,2047.0,0,0,0
0.0,4.0,2.0,2,568.0,0,0,0
1.0,112.0,2.0,2,1150.0,0,0,0
0.0,5.0,1.0,2,402.0,0,0,0
0.0,15.0,1.0,1,374.0,0,0,0
0.0,78.0,4.0,4,2186.0,0,0,0
1.0,104.0,4.0,4,2430.0,0,0,0
0.0,33.0,3.0,4,3133.0,0,1,1
0.0,78.0,3.0,3,1428.0,0,0,0
0.0,82.0,3.0,4,1631.0,0,1,0
0.0,44.0,3.0,3,1686.0,0,0,0
0.0,92.0,2.0,2,1194.0,0,0,0
1.0,74.0,5.0,6,3150.0,0,1,0
0.0,33.0,3.0,3,1777.0,0,1,0
1.0,81.0,4.0,5,2610.0,1,1,1
0.0,57.0,3.0,3,1894.0,0,0,0
0.0,54.0,4.0,4,3000.0,0,0,0
0.0,60.0,4.0,4,3068.0,0,1,0
0.0,101.0,2.0,2,1390.0,0,0,0
0.0,82.0,4.0,4,1985.0,0,1,0
0.0,9.0,3.0,4,2137.0,0,0,0
0.0,80.0,3.0,5,2167.0,0,0,0
0.0,111.0,2.0,2,1095.0,0,0,0
0.0,89.0,3.0,4,1416.0,0,1,0
0.0,39.0,3.0,2,1444.0,0,0,0
0.0,97.0,3.0,4,1925.0,0,0,0
0.0,9.0,2.0,2,543.0,0,0,0
0.0,6.0,3.0,2,848.0,0,0,0
1.0,3.0,6.0,7,4500.0,0,0,0
0.0,41.0,3.0,4,2820.0,1,0,0
0.0,18.0,3.0,3,1178.0,0,0,0
0.0,103.0,2.0,2,1176.0,1,0,0
0.0,98.0,2.0,2,1339.0,1,0,0
0.0,50.0,4.0,5,5000.0,0,1,0
0.0,108.0,4.0,4,3041.0,0,1,0
0.0,109.0,2.0,2,473.0,0,0,0
1.0,62.0,3.0,3,2160.0,0,1,1
0.0,39.0,3.0,3,2093.0,0,0,0
0.0,111.0,2.0,2,481.0,0,0,0
0.0,6.0,3.0,2,1303.0,1,0,1
0.0,75.0,4.0,4,2127.0,0,1,0
1.0,20.0,6.0,4,1935.0,0,0,0
0.0,63.0,3.0,4,2278.0,0,1,0
0.0,101.0,3.0,1,1103.0,0,0,0
0.0,105.0,4.0,4,2286.0,0,1,0
0.0,92.0,2.0,2,814.0,0,0,0
0.0,10.0,2.0,3,978.23,0,1,0
1.0,30.0,10.0,10,3159.0,0,0,0
0.0,11.0,3.0,3,2576.0,0,1,0
