property_type,sector,price,bedRoom,bathroom,built_up_area,study room,servant room,store room
flat,sector 110,4.0,4,4,3350,0,0,0
flat,sohna road,0.45,2,2,789,0,0,0
flat,sector 82a,0.62,1,1,650,0,0,0
flat,sector 90,1.15,3,3,1747,0,1,0
flat,sector 83,1.4,3,3,1570,0,0,0
house,sector 57,3.15,5,4,1548,0,0,1
flat,sector 71,0.98,3,3,1466,1,0,0
flat,sector 102,1.75,3,3,1465,0,0,0
flat,sector 65,5.0,3,3,3245,0,1,0
flat,sector 65,2.55,3,3,1650,1,1,0
flat,sector 33,1.65,3,3,2218,0,1,0
flat,sector 106,2.1,4,6,2131,0,1,0
flat,sector 9a,0.95,3,3,1403,0,0,0
flat,sector 109,2.2,3,4,1860,0,1,0
flat,sector 48,1.38,3,3,1611,0,0,0
house,sector 25,15.0,5,5,6400,1,1,0
flat,sector 105,0.42,3,2,833,0,0,0
flat,sector 61,2.55,3,3,1630,0,0,0
flat,sector 109,2.3,3,4,2339,0,1,0
flat,sector 65,3.2,4,3,3150,0,1,0
house,sector 49,3.75,2,6,1467,0,0,0
flat,sector 113,2.75,4,4,2886,1,1,0
flat,sector 33,2.0,3,3,1619,0,0,0
flat,sector 82a,1.85,3,3,1677,0,0,0
flat,dwarka expressway,1.3,3,3,1267,0,0,0
flat,sector 90,1.23,3,3,1578,0,0,0
flat,sector 65,2.65,2,2,1433,1,0,0
house,sector 9,1.65,2,3,900,0,0,0
flat,sector 43,3.8,3,3,2450,0,1,0
flat,sector 65,2.85,4,4,1975,1,1,0
flat,sector 63,7.8,4,4,3950,0,0,0
flat,sector 2,1.5,3,4,1738,0,1,0
house,sector 76,1.75,4,4,3111,0,0,0
flat,sector 61,2.17,3,3,1721,0,0,0
flat,sector 102,1.35,3,3,1315,0,1,0
flat,sector 106,1.05,3,4,1345,0,1,0
flat,sector 14,4.26,4,4,3250,0,0,0
flat,sector 95,0.41,2,2,670,1,0,0
house,sector 57,3.65,6,6,3450,1,1,1
flat,sector 109,1.2,3,2,1701,0,0,0
flat,sector 107,0.98,2,2,1281,1,0,0
house,sector 56,7.5,8,8,3240,1,1,0
flat,sector 70,1.65,3,4,1923,1,1,0
house,sector 48,5.5,3,6,2592,0,1,0
flat,sector 69,1.38,3,3,1392,0,0,0
house,sector 69,0.8,1,1,763,0,0,0
flat,sector 89,0.9,2,2,998,1,0,0
flat,sector 52,1.85,3,3,2127,0,1,0
flat,sector 78,0.75,2,2,1239,0,0,0
flat,sector 99a,1.3,3,3,1997,0,0,0
flat,sohna road,0.54,2,1,828,0,0,0
flat,sector 37d,0.55,2,2,610,0,0,0
flat,sector 65,2.0,2,2,1433,0,0,0
flat,sector 99a,1.32,3,5,1737,0,1,0
flat,sector 112,5.49,4,5,3655,0,1,0
flat,sector 89,1.0,2,2,1233,1,0,0
flat,sector 79,1.0,2,2,1700,1,0,0
flat,sector 89,0.9,2,2,998,1,0,0
house,sector 57,3.8,2,8,1458,0,0,1
flat,sector 92,0.65,3,3,1574,0,0,0
flat,sector 37d,1.36,3,3,1535,0,0,0
house,sector 109,11.3,7,5,4500,1,1,0
flat,sector 37d,1.25,3,3,1725,0,0,0
flat,sector 110,0.28,2,1,1000,0,0,0
flat,sector 102,1.3,2,2,1009,0,0,1
house,sector 28,13.0,10,10,8056,0,0,0
flat,sector 53,4.8,3,4,2500,0,1,0
flat,sector 104,1.35,4,5,2991,1,1,1
flat,sector 53,8.25,3,4,2661,0,1,0
house,sector 3 phase 3 extension,0.85,1,1,1000,0,0,0
flat,sector 92,0.65,3,3,1304,0,0,0
flat,sector 69,0.75,2,2,1100,0,0,0
house,sector 7,0.69,1,1,758,0,0,0
house,sector 40,5.0,9,9,2367,0,1,1
flat,sector 78,0.88,3,4,1668,0,1,0
flat,sector 66,2.1,3,4,1800,0,1,0
flat,sector 65,3.0,3,3,1828,0,0,0
flat,sector 90,1.7,4,4,2005,0,1,0
flat,sector 83,1.8,3,3,1549,0,1,0
flat,sector 61,1.85,2,2,1389,0,0,0
flat,sector 53,6.5,4,5,3000,1,1,0
house,sector 26,5.8,4,4,4518,0,0,0
flat,sector 33,1.1,2,2,1533,0,0,0
house,sector 3 phase 3 extension,1.5,6,1,3000,0,0,0
flat,sector 92,0.7,3,2,1325,0,0,0
flat,sector 102,2.0,3,3,1456,0,0,1
house,sohna road,0.85,3,2,1120,0,0,0
house,sector 12,6.0,9,9,9000,0,0,0
house,sector 14,6.5,4,4,3150,0,0,0
flat,sector 92,1.18,4,4,2518,0,1,0
flat,sector 106,1.15,3,3,1650,0,1,0
flat,sector 9,1.2,4,3,2000,0,0,0
flat,sohna road,0.28,2,2,520,0,0,0
house,sector 23,2.7,5,5,1450,0,0,0
flat,sector 74,2.7,3,3,2018,0,0,1
flat,sector 92,0.7,3,3,1572,0,0,0
house,sector 6,1.0,6,4,240,0,0,0
house,sector 53,4.0,5,5,2250,1,0,0
house,sector 3,0.75,4,2,1170,0,0,0
flat,sohna road,0.28,2,2,500,0,0,0
house,sector 28,4.5,4,4,3240,0,0,0
flat,sector 104,0.85,2,2,1611,1,0,0
house,sector 72,3.09,5,5,3653,0,1,0
flat,sector 99a,0.35,2,2,606,0,0,0
flat,sector 66,3.0,4,4,2700,1,1,0
flat,sector 47,1.05,2,2,1108,0,0,0
house,sector 50,7.1,3,3,2259,0,1,0
house,sector 38,4.3,3,9,1494,0,0,0
flat,sector 37d,0.71,2,2,1100,0,0,0
flat,sector 109,1.6,3,3,2303,0,1,0
flat,sector 77,1.75,3,3,1900,0,1,0
flat,sector 43,2.5,3,3,195,0,0,0
flat,sector 104,1.95,3,3,2544,0,1,0
flat,sector 84,2.2,4,4,3222,0,1,0
house,sector 45,8.5,5,4,3240,0,1,0
flat,sector 70,0.53,2,2,991,0,0,0
flat,sector 71,0.9,1,1,683,0,0,0
flat,sector 33,2.3,4,4,2000,0,1,0
house,sector 3 phase 3 extension,0.95,4,3,1070,0,0,0
flat,sector 95,0.35,2,2,637,0,0,0
flat,sector 83,3.15,5,7,3200,0,1,0
flat,sector 103,0.23,1,1,400,0,0,0
flat,sector 65,2.78,3,3,1829,0,0,0
flat,sector 84,1.5,3,3,1833,0,1,0
flat,sector 81,0.49,2,2,700,0,0,0
house,sector 33,1.35,2,2,1210,1,0,0
house,sector 14,6.4,6,6,3150,0,0,0
flat,sector 68,1.1,2,2,1150,0,0,0
flat,sector 69,1.3,3,3,1392,0,0,0
flat,sector 113,2.9,4,4,2553,1,1,0
flat,sector 48,1.5,3,3,1600,0,0,0
house,sector 43,2.55,3,3,1935,0,0,0
flat,sector 63,8.5,4,4,3950,0,0,0
flat,sector 108,0.65,2,2,1235,0,0,0
flat,sector 84,2.28,4,4,2998,0,1,0
flat,sector 84,0.88,3,3,1652,0,0,0
flat,sector 102,1.99,2,2,1145,0,0,0
flat,sector 37d,1.4,3,3,1711,0,0,0
house,sector 3,0.68,5,3,1755,0,0,0
flat,sector 92,0.71,3,3,1473,0,0,0
flat,sector 25,3.7,4,4,2333,0,1,0
flat,sohna road,0.91,2,2,1222,1,0,0
flat,sector 72,3.25,3,3,2986,0,1,0
flat,sector 81,2.2,3,4,1900,0,1,0
house,sector 11,4.0,5,4,2025,0,0,0
flat,sector 70,1.78,3,3,1765,0,1,0
flat,sector 37c,0.99,3,5,1400,0,1,0
house,sector 56,2.95,2,2,1458,0,0,0
flat,sector 84,0.54,2,2,1086,0,0,0
flat,sector 82,0.85,2,2,1176,0,0,0
flat,sector 95,0.6,2,2,974,1,0,0
house,sector 14,6.5,5,5,2500,0,0,0
house,sector 2,1.0,3,7,1215,0,0,0
flat,sector 95,0.45,2,2,695,0,0,0
flat,sector 92,0.5,3,3,1068,0,0,0
house,sector 22,4.75,7,5,2367,0,0,0
house,sector 109,6.0,4,4,2430,1,1,1
flat,sector 60,2.12,2,2,1350,0,0,0
flat,sector 86,1.59,3,3,1700,0,0,0
house,sector 25,6.5,4,4,1800,1,1,1
flat,sector 66,1.7,2,2,1072,0,0,0
flat,sector 108,2.6,3,3,1711,0,0,0
house,sector 28,8.95,5,6,5000,0,0,0
flat,sector 92,1.44,4,4,2267,0,0,0
flat,sector 22,2.55,3,3,1860,0,0,0
flat,sector 36,1.0,3,2,1122,0,0,0
house,sector 48,4.95,7,7,2403,1,1,1
flat,sector 39,1.5,4,3,2611,0,1,0
flat,sector 77,0.86,2,2,1214,0,0,0
flat,sector 60,2.15,2,3,1250,0,1,0
house,sector 26,12.5,5,5,3240,1,1,1
flat,sohna road,0.65,2,2,1043,0,0,0
flat,sector 70,2.35,4,4,2667,0,1,0
flat,sector 85,1.11,2,2,1630,0,0,1
house,sector 25,4.25,3,2,1350,1,0,0
flat,sector 65,2.25,3,3,1600,1,1,0
flat,sector 83,0.78,2,2,850,1,0,0
flat,sector 84,1.15,2,2,1394,1,0,0
house,sector 72,3.1,5,5,3653,0,0,0
flat,sector 91,2.0,4,4,2468,1,1,0
flat,sector 70,1.64,3,5,1527,0,1,0
flat,sector 9a,0.94,3,3,1722,0,0,0
flat,sector 108,2.08,4,4,2631,0,1,0
house,sector 81,0.89,1,1,1095,0,0,0
house,sector 26,18.25,7,9,11111,1,1,1
flat,sector 85,2.13,4,4,2600,0,0,0
flat,sector 92,0.65,3,2,1240,0,0,0
flat,sector 63a,1.65,2,2,978,0,0,0
house,sector 25,9.9,5,5,3375,0,0,0
house,sector 25,10.0,5,6,2700,0,1,1
flat,sector 102,2.05,3,4,2250,0,1,0
flat,sohna road,0.9,2,2,1105,0,0,0
flat,sector 86,0.6,3,2,833,0,0,0
flat,sector 108,3.95,3,4,2343,0,1,0
flat,sohna road,0.4,2,2,762,0,0,0
flat,sector 86,0.9,3,3,1690,0,0,0
flat,sector 71,0.37,1,1,425,0,0,0
